influencedBy,economist
Israel_Kirzner,Jesús_Huerta_de_Soto
Jacob_Mincer,Gary_Becker
James_Duesenberry,Kenneth_Arrow
James_Meade,Paul_Krugman
James_Mirrlees,Joseph_Stiglitz
Jean-Baptiste_Say,Thomas_Hodgskin
Jean_Charles_Léonard_de_Sismondi,Thomas_Robert_Malthus
Jeffrey_Sachs,Nouriel_Roubini
Arnold_Plant,Ronald_Coase
Arnold_Plant,Arthur_Seldon
Arthur_Cecil_Pigou,Paul_Krugman
Arthur_Cecil_Pigou,John_Maynard_Keynes
Arthur_Seldon,Margaret_Thatcher
Joachim_Weimann,Axel_Ockenfels
Joan_Robinson,Robin_Hahnel
Joan_Robinson,Nicholas_Kaldor
Joan_Robinson,Athanasios_Asimakopulos
Joan_Robinson,Yanis_Varoufakis
Johann_Heinrich_von_Thünen,Joseph_Schumpeter
John_Bates_Clark,Frank_Knight
John_Bates_Clark,Friedrich_Hayek
John_Bates_Clark,Thorstein_Veblen
John_Burr_Williams,Harry_Markowitz
Karl_Polanyi,Robin_Hahnel
Karl_Polanyi,Joseph_Stiglitz
Karl_Polanyi,Herman_Daly
Karl_Polanyi,Immanuel_Wallerstein
Katarina_Juselius,Clive_Granger
Katarina_Juselius,Søren_Johansen
Kenneth_Arrow,Anthony_Downs
Kenneth_Arrow,Amartya_Sen
Takashi_Negishi,Fumio_Hayashi
Don_Lavoie,David_Prychitko
Don_Lavoie,Peter_Boettke
Don_Patinkin,Huw_Dixon
Marc_Lavoie,Wynne_Godley
Philip_Wicksteed,Joseph_Schumpeter
Philip_Wicksteed,Murray_Rothbard
Philip_Wicksteed,Henry_Hazlitt
Piero_Sraffa,Robin_Hahnel
Piero_Sraffa,Steve_Keen
Piero_Sraffa,Nobuo_Okishio
Piero_Sraffa,John_Maynard_Keynes
Piero_Sraffa,Micha?_Kalecki
Knut_Wicksell,Friedrich_von_Hayek
Knut_Wicksell,Gunnar_Myrdal
Knut_Wicksell,James_M._Buchanan
Knut_Wicksell,John_Maynard_Keynes
Knut_Wicksell,Milton_Friedman
Micha?_Kalecki,Robin_Hahnel
Micha?_Kalecki,Hyman_Minsky
Micha?_Kalecki,Paul_A._Baran
Micha?_Kalecki,Paul_Sweezy
Micha?_Kalecki,"Richard_Kahn,_Baron_Kahn"
Micha?_Kalecki,Luigi_Pasinetti
Micha?_Kalecki,Jonathan_Nitzan
Micha?_Kalecki,Alfred_Eichner
Micha?_Kalecki,Nicholas_Kaldor
Micha?_Kalecki,Athanasios_Asimakopulos
Micha?_Kalecki,Joan_Robinson
Micha?_Kalecki,John_Kenneth_Galbraith
Micha?_Kalecki,John_Maynard_Keynes
Micha?_Kalecki,Marc_Lavoie
Micha?_Kalecki,Piero_Sraffa
Micha?_Kalecki,Yanis_Varoufakis
Micha?_Kalecki,Shimshon_Bichler
Milton_Friedman,David_D._Friedman
Milton_Friedman,Gary_Becker
Milton_Friedman,Thomas_Sowell
Milton_Friedman,J._Bradford_DeLong
Milton_Friedman,Margaret_Thatcher
"Ralph_Harris,_Baron_Harris_of_High_Cross",Margaret_Thatcher
Wolfgang_Stützel,Peter_Bofinger
Wolfgang_Stützel,Heiner_Flassbeck
Wynne_Godley,Steve_Keen
Wynne_Godley,Marc_Lavoie
Franz_Brentano,Carl_Menger
Adam_Smith,Carl_Menger
Aristotle,Carl_Menger
Kant,Carl_Menger
Herbert_Spencer,Carl_Menger
E.B._de_Condillac,Carl_Menger
Franco_Modigliani,Carmine_Gorga
Joseph_Kaipayil,Carmine_Gorga
John_Maynard_Keynes,Carmine_Gorga
Richard_Ebeling,Robert_P._Murphy
Murray_Rothbard,Robert_P._Murphy
Ludwig_von_Mises,Robert_P._Murphy
Eugen_Böhm_von_Bawerk,Robert_P._Murphy
Hans-Hermann_Hoppe,Robert_P._Murphy
Israel_Kirzner,Robert_P._Murphy
Joseph_Salerno,Robert_P._Murphy
Paul_Samuelson,Robert_Solow
David_Hume,Robert_Sugden
John_Rawls,Robert_Sugden
John_Stuart_Mill,Robert_Sugden
Friedrich_Hayek,Robert_Sugden
Adam_Smith,Robert_Sugden
John_Harsanyi,Robert_Sugden
Cornelius_Castoriadis,Robin_Hahnel
John_Maynard_Keynes,Robin_Hahnel
Karl_Marx,Robin_Hahnel
Celso_Furtado,Rogelio_Julio_Frigerio
Hans_Singer,Rogelio_Julio_Frigerio
Karl_Marx,Rogelio_Julio_Frigerio
Raúl_Prebisch,Rogelio_Julio_Frigerio
Kenneth_Wolpin,Michael_Keane
James_Heckman,Michael_Keane
John_Geweke,Michael_Keane
Robert_M._Townsend,Benjamin_Moll
Abhijit_Banerjee,Benjamin_Moll
"Robert_E._Lucas,_Jr.",Benjamin_Moll
Ludwig_von_Mises,Bert_F._Hoselitz
Jacob_Viner,Bert_F._Hoselitz
Talcott_Parsons,Bert_F._Hoselitz
Chicago_school_(economics),David_Chandler_Thomas
Milton_Friedman,David_Chandler_Thomas
Friedrich_Hayek,David_Chandler_Thomas
Ronald_Coase,David_D._Friedman
Rose_Friedman,David_D._Friedman
Robert_A._Heinlein,David_D._Friedman
Murray_Rothbard,David_D._Friedman
Adam_Smith,David_D._Friedman
Alfred_Marshall,David_D._Friedman
Ludwig_von_Mises,David_Prychitko
Friedrich_Hayek,David_Prychitko
Armen_Alchian,David_Prychitko
Ayn_Rand,David_R._Henderson
Adam_Smith,David_R._Henderson
Armen_Alchian,David_R._Henderson
John_Maynard_Keynes,David_R._Henderson
Karl_Marx,David_R._Henderson
Milton_Friedman,David_R._Henderson
Robert_Solow,David_Romer
John_Maynard_Keynes,David_Romer
Kenneth_Arrow,David_Romer
Franz_Palm,David_de_la_Croix
Philippe_Michel,David_de_la_Croix
Jacques_Drèze,David_de_la_Croix
Costas_Azariadis,David_de_la_Croix
Joel_Mokyr,David_de_la_Croix
Oded_Galor,David_de_la_Croix
Wassily_Leontief,Hyman_Minsky
John_Maynard_Keynes,Hyman_Minsky
Karl_Marx,Hyman_Minsky
Abba_Lerner,Hyman_Minsky
William_Baumol,John_Williamson
Oskar_Morgenstern,John_Williamson
James_Tobin,John_Williamson
Frédéric_Bastiat,Joseph_Schumpeter
David_Hume,Julian_Simon
Voltaire,Julian_Simon
Edward_Gibbon,Julian_Simon
Friedrich_Hayek,Julian_Simon
William_James,Julian_Simon
Adam_Smith,Julian_Simon
Jean-Jacques_Rousseau,Julian_Simon
John_Kenneth_Galbraith,Paul_A._Baran
Karl_Marx,Paul_A._Baran
John_Maynard_Keynes,Paul_McCulley
William_H._Gross,Paul_McCulley
John_Maynard_Keynes,Paul_Samuelson
Rosa_Luxemburg,Paul_Sweezy
Vladimir_Lenin,Paul_Sweezy
Karl_Marx,Paul_Sweezy
Ladislaus_Bortkiewicz,Paul_Sweezy
Ronald_Coase,Peter_Boettke
Richard_Cornuelle,Peter_Boettke
Vernon_L._Smith,Peter_Boettke
Elinor_Ostrom,Peter_Boettke
Friedrich_Hayek,Peter_Boettke
Frédéric_Bastiat,Peter_Boettke
Murray_Rothbard,Peter_Boettke
Ludwig_von_Mises,Peter_Boettke
Israel_Kirzner,Peter_Boettke
James_M._Buchanan,Peter_Boettke
Jean-Baptiste_Say,Peter_Boettke
Kenneth_E._Boulding,Peter_Boettke
John_Maynard_Keynes,Peter_Bofinger
Karl_Schiller,Peter_Bofinger
Gary_Becker,Peter_Leeson
George_Stigler,Peter_Leeson
Gordon_Tullock,Peter_Leeson
Ludwig_von_Mises,Peter_Leeson
Halbert_White,Peter_Reinhard_Hansen
James_D._Hamilton,Peter_Reinhard_Hansen
Soren_Johansen,Peter_Reinhard_Hansen
Robert_Engle,Peter_Reinhard_Hansen
Rosa_Luxemburg,Richard_D._Wolff
Vladimir_Lenin,Richard_D._Wolff
Friedrich_Engels,Richard_D._Wolff
Antonio_Gramsci,Richard_D._Wolff
Louis_Althusser,Richard_D._Wolff
Étienne_Balibar,Richard_D._Wolff
Eduard_Bernstein,Richard_D._Wolff
Karl_Marx,Richard_D._Wolff
George_Lukács,Richard_D._Wolff
Gerald_Shove,"Richard_Kahn,_Baron_Kahn"
John_Maynard_Keynes,"Richard_Kahn,_Baron_Kahn"
Friedrich_von_Wieser,Richard_Ritter_von_Strigl
Ludwig_von_Mises,Richard_Ritter_von_Strigl
Schumpeter,Richard_Ritter_von_Strigl
Eugen_Böhm_von_Bawerk,Richard_Ritter_von_Strigl
Leon_Walras,Richard_Ritter_von_Strigl
Earl_J._Hamilton,Richard_Timberlake
Milton_Friedman,Richard_Timberlake
Ronald_Coase,Robert_Higgs
Joseph_Schumpeter,Robert_Higgs
Murray_Rothbard,Robert_Higgs
Ludwig_von_Mises,Robert_Higgs
Simon_Kuznets,Robert_Higgs
Friedrich_Hayek,Robert_Higgs
Douglass_C._North,Robert_Higgs
George_Akerlof,Robert_J._Shiller
Irving_Fisher,Robert_J._Shiller
John_Maynard_Keynes,Robert_J._Shiller
Thorstein_Veblen,Ugo_Pagano
Léon_Walras,Ugo_Pagano
Charles_Darwin,Ugo_Pagano
Karl_Marx,Ugo_Pagano
G._Mosca,Vilfredo_Pareto
Machiavelli,Vilfredo_Pareto
Adam_Smith,Vilfredo_Pareto
Gustave_de_Molinari,Vilfredo_Pareto
D._Hume,Vilfredo_Pareto
Herbert_Spencer,Vilfredo_Pareto
Maffeo_Pantaleoni,Vilfredo_Pareto
J._de_Maistre,Vilfredo_Pareto
L._Walras,Vilfredo_Pareto
E._Burke,Vilfredo_Pareto
G._Sorel,Vilfredo_Pareto
A._Comte,Vilfredo_Pareto
John_Rawls,Inge_Kaul
Richard_Musgrave,Inge_Kaul
Mahbub_ul_Haq,Inge_Kaul
Willy_Brandt,Inge_Kaul
Amartya_Sen,Inge_Kaul
James_Tobin,Inge_Kaul
John_Maynard_Keynes,Inge_Kaul
Paul_Romer,Maurice_Kugler
Ricardo_Hausmann,Maurice_Kugler
Dani_Rodrik,Maurice_Kugler
John_Haltiwanger,Maurice_Kugler
Michael_Kremer,Maurice_Kugler
David_Ricardo,Max_Hirsch
John_Stuart_Mill,Max_Hirsch
Eugen_von_Böhm-Bawerk,Max_Hirsch
Henry_George,Max_Hirsch
Friedrich_Hayek,Russ_Roberts
Gary_Becker,Russ_Roberts
Ayn_Rand,Russ_Roberts
Adam_Smith,Russ_Roberts
Milton_Friedman,Russ_Roberts
Bertrand_Russell,Said_Gafurov
Alexander_Buzgalin,Said_Gafurov
Karl_Marx,Said_Gafurov
John_Maynard_Keynes,Said_Gafurov
Tyler_Cowen,Christopher_Coyne
Karl_Marx,Christopher_Freeman
John_Desmond_Bernal,Christopher_Freeman
Alok_Bhargava,Clive_Granger
Norbert_Wiener,Clive_Granger
David_Hendry,Clive_Granger
John_Denis_Sargan,Clive_Granger
Richard_Cobden,Edward_Atkinson_(activist)
Frédéric_Bastiat,Edward_Atkinson_(activist)
Adam_Smith,Edward_Atkinson_(activist)
John_Bright,Edward_Atkinson_(activist)
Gottfried_Haberler,Edward_C._Harwood
William_Harold_Hutt,Edward_C._Harwood
William_James,Edward_C._Harwood
Henry_George,Edward_C._Harwood
Henry_Hazlitt,Edward_C._Harwood
Charles_Sanders_Peirce,Edward_C._Harwood
