economist,influencedBy
Victoria_Chick,Hyman_Minsky
Victoria_Chick,John_Maynard_Keynes
Vilfredo_Pareto,G._Mosca
Vilfredo_Pareto,Machiavelli
Vilfredo_Pareto,Adam_Smith
Vilfredo_Pareto,Gustave_de_Molinari
Vilfredo_Pareto,David_Hume
Vilfredo_Pareto,Herbert_Spencer
Vilfredo_Pareto,Maffeo_Pantaleoni
Vilfredo_Pareto,J._de_Maistre
Vilfredo_Pareto,Léon_Walras
Vilfredo_Pareto,Edmund_Burke
Vilfredo_Pareto,G._Sorel
Vilfredo_Pareto,Auguste_Comte
David_O._Meltzer,Gary_Becker
David_O._Meltzer,Sherwin_Rosen
Inge_Kaul,John_Rawls
Inge_Kaul,Richard_Musgrave
Inge_Kaul,Mahbub_ul_Haq
Inge_Kaul,Willy_Brandt
Inge_Kaul,Amartya_Sen
Inge_Kaul,James_Tobin
Inge_Kaul,John_Maynard_Keynes
Ingrid_Robeyns,Amartya_Sen
Ingrid_Robeyns,Martha_Nussbaum
Costas_Lapavitsas,John_Maynard_Keynes
Costas_Lapavitsas,Karl_Marx
Masahiko_Aoki,Leonid_Hurwicz
Mason_Gaffney,Henry_George
Maurice_Allais,Vilfredo_Pareto
Maurice_Allais,Léon_Walras
Maurice_Allais,Irving_Fisher
Maurice_Kugler,Paul_Romer
Maurice_Kugler,Ricardo_Hausmann
Maurice_Kugler,Dani_Rodrik
Maurice_Kugler,John_Haltiwanger
Maurice_Kugler,Michael_Kremer
Mauro_Baranzini,Geoff_Harcourt
Mauro_Baranzini,Luigi_Lodovico_Pasinetti
Max_Hirsch,David_Ricardo
Max_Hirsch,John_Stuart_Mill
Max_Hirsch,Eugen_von_Böhm-Bawerk
Max_Hirsch,Henry_George
Russ_Roberts,Friedrich_Hayek
Russ_Roberts,Gary_Becker
Russ_Roberts,Ayn_Rand
Russ_Roberts,Adam_Smith
Russ_Roberts,Milton_Friedman
Ryuzo_Sato,Richard_Musgrave
Sabina_Alkire,Amartya_Sen
Sabina_Alkire,Martha_Nussbaum
Said_Gafurov,Bertrand_Russell
Said_Gafurov,Alexander_Buzgalin
Said_Gafurov,Karl_Marx
Said_Gafurov,John_Maynard_Keynes
Gary_Yohe,William_Nordhaus
