influencedBy,economist
Friedrich_Hayek,Karl_Popper
Friedrich_Hayek,Lawrence_H._White
Friedrich_Hayek,Margaret_Thatcher
Friedrich_Hayek,Milton_Friedman
Friedrich_Hayek,Charles_Edward_Lindblom
Friedrich_List,Erik_S._Reinert
Friedrich_List,Ha-Joon_Chang
Friedrich_List,Arthur_Griffith
Friedrich_von_Wieser,Joseph_Schumpeter
Friedrich_von_Wieser,Ludwig_von_Mises
Friedrich_von_Wieser,Friedrich_Hayek
Fritz_Machlup,John_Williamson
Fritz_Machlup,Edith_Penrose
Fritz_Machlup,Ta-Chung_Liu
Fritz_Machlup,Merton_Miller
Gardiner_Means,Frederic_Sterling_Lee
Gardiner_Means,Abraham_Kaplan
Gardiner_Means,John_Kenneth_Galbraith
Gardiner_Means,"Alfred_D._Chandler,_Jr."
Gardiner_Means,Edwin_Nourse
Gary_Becker,David_O._Meltzer
Gary_Becker,"Roland_G._Fryer,_Jr."
Gene_Grossman,Dani_Rodrik
Gene_Grossman,Pol_Antràs
Georg_Friedrich_Knapp,Kurt_Singer
Georg_Friedrich_Knapp,John_Maynard_Keynes
Georg_Friedrich_Knapp,Ladislaus_Bortkiewicz
George_Akerlof,Robert_Shiller
George_Selgin,David_Beckworth
George_Stigler,Gary_Becker
George_Stigler,Jacques_Drèze
George_Stigler,Mark_Blaug
Gottfried_Feder,Uz?_Nishiyama
Gottfried_Feder,Adolf_Hitler
Gottfried_Feder,Otto_Strasser
Gottfried_Feder,Gregor_Strasser
Morris_Copeland,Perry_Mehrling
Morris_Copeland,Marc_Lavoie
Theodor_Hertzka,Silvio_Gesell
Theodore_Schultz,D._Gale_Johnson
Thomas_Hodgskin,Francis_Place
Thomas_Hodgskin,Kevin_Carson
Thomas_Hodgskin,Karl_Marx
Thomas_Robert_Malthus,Alfred_Russel_Wallace
Thomas_Robert_Malthus,Thanos
Thomas_Robert_Malthus,Charles_Darwin
Thomas_Robert_Malthus,John_Maynard_Keynes
