influencedBy,economist
Arthur_Cecil_Pigou,John_Maynard_Keynes
Joan_Robinson,Robin_Hahnel
Joan_Robinson,Nicholas_Kaldor
Joan_Robinson,Alfred_S._Eichner
Joan_Robinson,Athanasios_Asimakopulos
Joan_Robinson,Yanis_Varoufakis
Johann_Heinrich_von_Thünen,Joseph_Schumpeter
John_Bates_Clark,Frank_Knight
John_Bates_Clark,Friedrich_Hayek
John_Bates_Clark,Thorstein_Veblen
Karl_Polanyi,Robin_Hahnel
Karl_Polanyi,Samuel_Bowles
Karl_Polanyi,David_Graeber
Karl_Polanyi,Joseph_Stiglitz
Karl_Polanyi,Peter_Drucker
Karl_Polanyi,Giovanni_Arrighi
Karl_Polanyi,Moses_Finley
Karl_Polanyi,Kari_Polanyi_Levitt
Karl_Polanyi,Dani_Rodrik
Karl_Polanyi,Daniel_Bell
Karl_Polanyi,Herbert_Gintis
Karl_Polanyi,Herman_Daly
Karl_Polanyi,Ira_Katznelson
Karl_Polanyi,James_C._Scott
Karl_Polanyi,Margaret_Somers
Karl_Polanyi,Arthur_Koestler
Karl_Polanyi,John_Gray
Karl_Polanyi,Jacob_Hacker
Karl_Polanyi,Ay?e_Bu?ra
Karl_Polanyi,Mark_Granovetter
Karl_Polanyi,Marshall_Sahlins
Karl_Polanyi,Fred_L._Block
Karl_Polanyi,Immanuel_Wallerstein
Karl_Polanyi,Tom_Malleson
Katarina_Juselius,Clive_Granger
Kenneth_Arrow,Anthony_Downs
Kenneth_Arrow,Allan_Gibbard
Kenneth_Arrow,Amartya_Sen
Kenneth_Arrow,Takashi_Negishi
Don_Lavoie,Peter_Boettke
Marc_Lavoie,Wynne_Godley
Philip_Wicksteed,Joseph_Schumpeter
Philip_Wicksteed,Murray_Rothbard
Philip_Wicksteed,Henry_Hazlitt
Piero_Sraffa,Robin_Hahnel
Piero_Sraffa,Ludwig_Wittgenstein
Piero_Sraffa,Steve_Keen
Piero_Sraffa,Nobuo_Okishio
Piero_Sraffa,John_Maynard_Keynes
Piero_Sraffa,Pierangelo_Garegnani
Piero_Sraffa,Micha?_Kalecki
Piero_Sraffa,Krishna_Bharadwaj
Knut_Wicksell,Friedrich_Hayek
Knut_Wicksell,Gunnar_Myrdal
Knut_Wicksell,James_M._Buchanan
Knut_Wicksell,John_Maynard_Keynes
Knut_Wicksell,Milton_Friedman
Micha?_Kalecki,Robin_Hahnel
Micha?_Kalecki,Richard_M._Goodwin
Micha?_Kalecki,Bill_Mitchell
Micha?_Kalecki,Hyman_Minsky
Micha?_Kalecki,Josef_Steindl
Micha?_Kalecki,Paul_A._Baran
Micha?_Kalecki,Paul_Sweezy
Micha?_Kalecki,Richard_Kahn
Micha?_Kalecki,Luigi_Pasinetti
Micha?_Kalecki,Jonathan_Nitzan
Micha?_Kalecki,Alfred_Eichner
Micha?_Kalecki,Nicholas_Kaldor
Micha?_Kalecki,Jan_Kregel
Micha?_Kalecki,Athanasios_Asimakopulos
Micha?_Kalecki,Joan_Robinson
Micha?_Kalecki,John_Eatwell
Micha?_Kalecki,John_Kenneth_Galbraith
Micha?_Kalecki,John_Maynard_Keynes
Micha?_Kalecki,Kazimierz_?aski
Micha?_Kalecki,Lance_Taylor
Micha?_Kalecki,Lawrence_Klein
Micha?_Kalecki,Marc_Lavoie
Micha?_Kalecki,Piero_Sraffa
Micha?_Kalecki,Yanis_Varoufakis
Micha?_Kalecki,Shimshon_Bichler
Micha?_Kalecki,Tadeusz_Kowalik
Milton_Friedman,Ronald_Reagan
Milton_Friedman,Scott_Sumner
Milton_Friedman,Ben_Bernanke
Milton_Friedman,David_D._Friedman
Milton_Friedman,Gary_Becker
Milton_Friedman,Thomas_Sowell
Milton_Friedman,Anna_Schwartz
Milton_Friedman,Augusto_Pinochet
Milton_Friedman,William_F._Buckley_Jr.
Milton_Friedman,Warren_Nutter
Milton_Friedman,Alan_Greenspan
Milton_Friedman,Herbert_Stein
Milton_Friedman,Hernando_de_Soto_Polar
Milton_Friedman,J._Bradford_DeLong
Milton_Friedman,Margaret_Thatcher
Milton_Friedman,Mart_Laar
Oliver_E._Williamson,Paul_Joskow
Wynne_Godley,Bill_Mitchell
Wynne_Godley,Steve_Keen
Wynne_Godley,Marc_Lavoie
Wynne_Godley,Martin_Wolf
Wynne_Godley,Randall_Wray
Franz_Brentano,Carl_Menger
Adam_Smith,Carl_Menger
Aristotle,Carl_Menger
Immanuel_Kant,Carl_Menger
Herbert_Spencer,Carl_Menger
Étienne_Bonnot_de_Condillac,Carl_Menger
John_Maynard_Keynes,Carmine_Gorga
Murray_Rothbard,Robert_P._Murphy
Ludwig_von_Mises,Robert_P._Murphy
Eugen_von_Böhm-Bawerk,Robert_P._Murphy
Hans-Hermann_Hoppe,Robert_P._Murphy
Karl_Marx,Robert_Rowthorn
Paul_Samuelson,Robert_Solow
Friedrich_Hayek,Robert_Sugden
Adam_Smith,Robert_Sugden
Cornelius_Castoriadis,Robin_Hahnel
John_Maynard_Keynes,Robin_Hahnel
Karl_Marx,Robin_Hahnel
Karl_Marx,Rogelio_Julio_Frigerio
Ludwig_von_Mises,Roger_Garrison
John_Maynard_Keynes,Roy_Harrod
Karl_Marx,Samuel_Bowles
John_Kenneth_Galbraith,Samuel_L._Myers_Sr.
Ludwig_von_Mises,Benjamin_Anderson
Ludwig_von_Mises,Bert_F._Hoselitz
Karl_Marx,Bill_Mitchell
Milton_Friedman,David_Chandler_Thomas
Friedrich_Hayek,David_Chandler_Thomas
Ronald_Coase,David_D._Friedman
Rose_Friedman,David_D._Friedman
Robert_A._Heinlein,David_D._Friedman
Murray_Rothbard,David_D._Friedman
Adam_Smith,David_D._Friedman
Alfred_Marshall,David_D._Friedman
Ludwig_von_Mises,David_Prychitko
Friedrich_Hayek,David_Prychitko
Adam_Smith,David_R._Henderson
John_Maynard_Keynes,David_R._Henderson
Karl_Marx,David_R._Henderson
Milton_Friedman,David_R._Henderson
John_Maynard_Keynes,David_Romer
Kenneth_Arrow,David_Romer
John_Maynard_Keynes,David_Vines
Jacques_Drèze,David_de_la_Croix
Kenneth_Arrow,Dean_Jamison
Knut_Wicksell,Dennis_Robertson
Wassily_Leontief,Hyman_Minsky
John_Maynard_Keynes,Hyman_Minsky
Karl_Marx,Hyman_Minsky
Abba_P._Lerner,Hyman_Minsky
Adam_Smith,John_Ramsay_McCulloch
James_Tobin,John_Williamson
John_Maynard_Keynes,Josef_Steindl
Frédéric_Bastiat,Joseph_Schumpeter
Murray_Rothbard,Joseph_T._Salerno
Friedrich_Hayek,Julian_Simon
Adam_Smith,Julian_Simon
John_Kenneth_Galbraith,Paul_A._Baran
Karl_Marx,Paul_A._Baran
John_Maynard_Keynes,Paul_Davidson
Ronald_Coase,Paul_Joskow
John_Maynard_Keynes,Paul_McCulley
John_Maynard_Keynes,Paul_Samuelson
Rosa_Luxemburg,Paul_Sweezy
Vladimir_Lenin,Paul_Sweezy
Karl_Marx,Paul_Sweezy
Ladislaus_Bortkiewicz,Paul_Sweezy
Ronald_Coase,Peter_Boettke
Richard_Cornuelle,Peter_Boettke
Vernon_L._Smith,Peter_Boettke
Elinor_Ostrom,Peter_Boettke
Friedrich_Hayek,Peter_Boettke
Frédéric_Bastiat,Peter_Boettke
Murray_Rothbard,Peter_Boettke
Ludwig_von_Mises,Peter_Boettke
Israel_Kirzner,Peter_Boettke
James_M._Buchanan,Peter_Boettke
Jean-Baptiste_Say,Peter_Boettke
Kenneth_E._Boulding,Peter_Boettke
John_Maynard_Keynes,Peter_Bofinger
Gary_Becker,Peter_Leeson
George_Stigler,Peter_Leeson
Ludwig_von_Mises,Peter_Leeson
